sample,org,dataset,gpair,phylum,left_tpm_raw,junc_tpm_raw
DRR124540_12_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,56077.280649109576,3930.0471732980313
DRR124541_13_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,51325.93834370608,4737.453564068265
DRR124542_14_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,49036.93381162225,4472.235445197879
DRR124543_15_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,52456.80979981711,3490.0129406773503
DRR124544_16_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,50250.77038107083,3721.1795358922845
DRR196677_0_TU,Tetranychus_urticae,TU_transcriptome,11,Arthropoda,853.7468520532834,289.26462316340013
DRR196678_1_TU,Tetranychus_urticae,TU_transcriptome,7,Arthropoda,2145.7275792087767,274.8707795715242
DRR196679_2_TU,Tetranychus_urticae,TU_transcriptome,7,Arthropoda,2451.2501700079133,379.3370192727325
DRR196680_3_TU,Tetranychus_urticae,TU_transcriptome,10,Arthropoda,3937.6695337499573,310.2042957186053
DRR196681_4_TU,Tetranychus_urticae,TU_transcriptome,6,Arthropoda,443.73824856986755,659.6125353008232
DRR196682_5_TU,Tetranychus_urticae,TU_transcriptome,7,Arthropoda,13351.16046471669,449.4684930828293
DRR196683_6_TU,Tetranychus_urticae,TU_transcriptome,8,Arthropoda,2880.623576019028,549.7527873012384
DRR196684_7_TU,Tetranychus_urticae,TU_transcriptome,9,Arthropoda,6135.504606996381,313.2970530933189
DRR196685_8_TU,Tetranychus_urticae,TU_transcriptome,10,Arthropoda,3822.267447242808,324.38234299844623
ERR2882470_30_HS,Homo_sapiens,knee_hs,10,Chordata,67982.16559455419,32604.244975309746
ERR2882471_31_HS,Homo_sapiens,knee_hs,8,Chordata,63593.580289011166,25599.66515759929
ERR2882472_32_HS,Homo_sapiens,knee_hs,14,Chordata,56247.98845779871,24041.672950263855
ERR2882473_33_HS,Homo_sapiens,knee_hs,14,Chordata,53192.768739964245,27372.01116499614
ERR2882474_34_HS,Homo_sapiens,knee_hs,8,Chordata,62442.50965592265,17846.899323030397
ERR2882475_35_HS,Homo_sapiens,knee_hs,14,Chordata,52935.059080393956,24250.963280534816
ERR2882476_36_HS,Homo_sapiens,knee_hs,14,Chordata,59243.1341215196,32142.395188007496
ERR2882477_37_HS,Homo_sapiens,knee_hs,14,Chordata,55080.75748193563,27580.957515581038
ERR2882478_38_HS,Homo_sapiens,knee_hs,14,Chordata,61064.56452914371,28397.74815493582
ERR2882479_39_HS,Homo_sapiens,knee_hs,14,Chordata,58064.299061806814,35207.034542744426
ERR2882480_40_HS,Homo_sapiens,knee_hs,14,Chordata,57745.231338100224,22695.54897076903
ERR2882481_41_HS,Homo_sapiens,knee_hs,14,Chordata,45681.449450622495,25433.095703903542
ERR2882482_42_HS,Homo_sapiens,knee_hs,14,Chordata,69827.57107349046,23647.062379781062
ERR2882483_43_HS,Homo_sapiens,knee_hs,14,Chordata,60857.853832603425,25150.258560546314
ERR2882484_44_HS,Homo_sapiens,knee_hs,14,Chordata,59232.424041443766,29260.164247217992
ERR2882485_45_HS,Homo_sapiens,knee_hs,14,Chordata,55871.32874230534,25546.77412922054
ERR2882486_46_HS,Homo_sapiens,knee_hs,14,Chordata,51711.531155707635,25489.52376611477
ERR2882487_47_HS,Homo_sapiens,knee_hs,14,Chordata,60262.34007345489,30095.077281573744
ERR2882488_48_HS,Homo_sapiens,knee_hs,14,Chordata,55076.509994143766,24634.187979801063
ERR2882489_49_HS,Homo_sapiens,knee_hs,12,Chordata,58147.21326033946,29483.356233626655
ERR3417899_0_MD,Monodelphis_domestica,ssRNA_10_mammals,12,Chordata,24869.31438191155,23283.61634171976
ERR3417902_3_MD,Monodelphis_domestica,ssRNA_10_mammals,12,Chordata,25804.1062870429,21576.984355151428
ERR3417907_8_FC,Felis_catus,ssRNA_10_mammals,12,Chordata,26757.51051238703,21118.30179718072
ERR3417909_10_OC,Oryctolagus_cuniculus,ssRNA_10_mammals,12,Chordata,23312.935935270718,11988.40984318361
ERR3417914_15_CJ,Callithrix_jacchus,ssRNA_10_mammals,12,Chordata,28579.737351533186,5498.494871434155
ERR3417915_16_CJ,Callithrix_jacchus,ssRNA_10_mammals,12,Chordata,37886.13012821984,13484.084382062738
ERR3417918_19_SS,Sus_scrofa,ssRNA_10_mammals,12,Chordata,16701.073588049843,13045.411517658573
ERR3417919_20_OC,Oryctolagus_cuniculus,ssRNA_10_mammals,12,Chordata,23981.006697973506,6489.750165556858
ERR3417920_21_MD,Monodelphis_domestica,ssRNA_10_mammals,12,Chordata,25983.135601017344,8736.041706154527
ERR3417922_23_MD,Monodelphis_domestica,ssRNA_10_mammals,12,Chordata,21213.397596045095,15259.76985346416
ERR3417923_24_FC,Felis_catus,ssRNA_10_mammals,12,Chordata,18323.2709639546,8908.430259417248
ERR3417924_25_SS,Sus_scrofa,ssRNA_10_mammals,12,Chordata,18331.71685948884,10912.722603540496
ERR3417925_26_FC,Felis_catus,ssRNA_10_mammals,12,Chordata,28899.771390104775,12140.918339916652
ERR3417926_27_FC,Felis_catus,ssRNA_10_mammals,12,Chordata,26292.469597930824,11880.256687057574
ERR3417928_29_FC,Felis_catus,ssRNA_10_mammals,10,Chordata,32660.368913859944,13766.09978611668
ERR3417930_31_CJ,Callithrix_jacchus,ssRNA_10_mammals,12,Chordata,50306.60530519689,15718.298014273028
ERR3417932_33_FC,Felis_catus,ssRNA_10_mammals,12,Chordata,23714.093357051046,8864.200608015126
ERR3417934_35_FC,Felis_catus,ssRNA_10_mammals,10,Chordata,29967.790681108505,10791.922534012365
ERR3417935_36_SS,Sus_scrofa,ssRNA_10_mammals,12,Chordata,11118.5142834996,6116.994553996511
ERR3417937_38_SS,Sus_scrofa,ssRNA_10_mammals,12,Chordata,24033.088000261487,12383.494828811698
ERR3417940_41_EC,Equus_caballus,ssRNA_10_mammals,12,Chordata,21495.680566364023,11398.583366883984
ERR3417945_46_OC,Oryctolagus_cuniculus,ssRNA_10_mammals,12,Chordata,21280.440267356153,9612.861924617739
ERR3417946_47_MD,Monodelphis_domestica,ssRNA_10_mammals,12,Chordata,24071.2727703224,20757.871441520965
ERR3417948_49_OC,Oryctolagus_cuniculus,ssRNA_10_mammals,12,Chordata,26860.437891567337,14644.609877138533
ERR3417954_55_MD,Monodelphis_domestica,ssRNA_10_mammals,12,Chordata,22211.488747249627,10547.875171532589
ERR3417956_57_EC,Equus_caballus,ssRNA_10_mammals,12,Chordata,19671.191836713268,10894.422877108975
ERR3417957_58_OC,Oryctolagus_cuniculus,ssRNA_10_mammals,10,Chordata,24914.12435034909,10377.047083817706
ERR3417959_60_OC,Oryctolagus_cuniculus,ssRNA_10_mammals,10,Chordata,19414.911170398263,6423.059861832111
ERR3417965_66_SS,Sus_scrofa,ssRNA_10_mammals,10,Chordata,11823.151935232581,7697.992386181929
ERR3417966_67_EC,Equus_caballus,ssRNA_10_mammals,10,Chordata,21429.79939276272,5305.525871653965
ERR3417967_68_FC,Felis_catus,ssRNA_10_mammals,12,Chordata,28714.095442920458,14741.208905943244
ERR3417968_69_CJ,Callithrix_jacchus,ssRNA_10_mammals,12,Chordata,20236.09521890026,6325.381923422508
ERR3417970_71_CJ,Callithrix_jacchus,ssRNA_10_mammals,12,Chordata,29005.03308561038,8068.719158459748
ERR3417975_76_CJ,Callithrix_jacchus,ssRNA_10_mammals,12,Chordata,29030.35780585678,10198.226743445535
ERR3417976_77_EC,Equus_caballus,ssRNA_10_mammals,12,Chordata,20872.883783167454,7455.447598975742
ERR3417978_79_OC,Oryctolagus_cuniculus,ssRNA_10_mammals,10,Chordata,26385.24327743605,5284.062914227017
ERR3417979_80_FC,Felis_catus,ssRNA_10_mammals,10,Chordata,16826.5247567392,6186.3309726991865
ERR3417981_82_EC,Equus_caballus,ssRNA_10_mammals,10,Chordata,22675.423569203995,3737.662485212162
SRR10119796_0_SP,Scylla_paramamosain,SP_crus_transc,11,Arthropoda,30342.976631757287,5791.130447564111
SRR10119797_1_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,29723.225512109057,3548.9675735833475
SRR10119798_2_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,21203.93406403724,4325.315130061096
SRR10119799_3_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,31882.24185680034,5799.556296611327
SRR10119800_4_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,25225.64490059133,3689.6352058501925
SRR10119801_5_SP,Scylla_paramamosain,SP_crus_transc,9,Arthropoda,22336.225819463914,2798.864942360482
SRR10119802_6_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,24765.99977011628,2633.4497287279646
SRR10119803_7_SP,Scylla_paramamosain,SP_crus_transc,10,Arthropoda,16841.500256579264,2893.8268044434576
SRR10119804_8_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,28134.10683243347,3563.483714336624
SRR1015410_0_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,593.4011608490191,501.9947134154759
SRR1015411_1_AG,Aphis_glycines,AG_gexpr,13,Arthropoda,653.3607557822664,913.2004775163864
SRR1015412_2_AG,Aphis_glycines,AG_gexpr,12,Arthropoda,770.7972986525499,895.9913272825977
SRR1015414_4_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,6795.35624466574,1657.760673058352
SRR1015415_5_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,5647.696399016433,807.6413981883964
SRR1015416_6_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,5172.770009769869,1284.3669607942766
SRR1015418_8_AG,Aphis_glycines,AG_gexpr,12,Arthropoda,1213.2393757068467,1100.9664536315533
SRR1015419_9_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,468.1578802141056,292.72330268354847
SRR1015420_10_AG,Aphis_glycines,AG_gexpr,12,Arthropoda,622.731362166547,382.52900290957984
SRR1015422_12_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,4378.580837164364,1239.3822891548014
SRR1015423_13_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,535.0211005961701,559.0340522636548
SRR1015424_14_AG,Aphis_glycines,AG_gexpr,13,Arthropoda,347.0262239390898,596.7544103485751
SRR1015425_15_AG,Aphis_glycines,AG_gexpr,12,Arthropoda,509.4018775777451,565.1635996024551
SRR1015426_16_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,3089.907112812227,2149.692315037858
SRR1015427_17_AG,Aphis_glycines,AG_gexpr,13,Arthropoda,9115.14420953415,1415.2719481301851
SRR1015429_19_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,4255.368198005342,1038.1021933143668
SRR1015430_20_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,516.2661353347112,366.337231609112
SRR1015432_22_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,604.1393820771116,417.2873899933086
SRR1015435_24_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,593.4011608490191,501.9947134154759
SRR1048367_0_GG,Gallus_gallus,GG_generic,24,Chordata,60014.81545453178,7047.4080566862485
SRR1048528_1_GG,Gallus_gallus,GG_generic,24,Chordata,59666.20143655691,8000.020296249735
SRR1048529_2_GG,Gallus_gallus,GG_generic,24,Chordata,59956.11388658468,6480.787040983993
SRR1048530_3_GG,Gallus_gallus,GG_generic,24,Chordata,59410.10910124141,7463.8176628047095
SRR1048531_4_GG,Gallus_gallus,GG_generic,24,Chordata,59353.130481435044,7592.343006797972
SRR1048532_5_GG,Gallus_gallus,GG_generic,24,Chordata,58769.08528304221,7217.274958213953
SRR1048533_6_GG,Gallus_gallus,GG_generic,24,Chordata,56650.69750371141,3852.7798944889496
SRR1048534_7_GG,Gallus_gallus,GG_generic,24,Chordata,56753.263999629555,5920.062301934128
SRR1048535_8_GG,Gallus_gallus,GG_generic,24,Chordata,55919.700663003736,5087.293999659092
SRR1048536_9_GG,Gallus_gallus,GG_generic,24,Chordata,59017.02474064742,4973.908013264139
SRR1048537_10_GG,Gallus_gallus,GG_generic,24,Chordata,59175.44693747361,4969.088244388299
SRR1048538_11_GG,Gallus_gallus,GG_generic,24,Chordata,59484.568465706834,6082.142097349196
SRR1048539_12_GG,Gallus_gallus,GG_generic,24,Chordata,57996.710614260126,4464.328166698405
SRR1048540_13_GG,Gallus_gallus,GG_generic,24,Chordata,57375.11723640034,4448.352764627914
SRR1048541_14_GG,Gallus_gallus,GG_generic,24,Chordata,57727.469498018036,5836.88524815888
SRR1048542_15_GG,Gallus_gallus,GG_generic,24,Chordata,54487.91333724212,7418.588003003941
SRR1048543_16_GG,Gallus_gallus,GG_generic,24,Chordata,54916.797040358084,7389.865650172256
SRR1048545_18_GG,Gallus_gallus,GG_generic,24,Chordata,55979.449985965686,5130.468974999035
SRR1048546_19_GG,Gallus_gallus,GG_generic,24,Chordata,56181.243188938126,6324.996554028848
SRR1048547_20_GG,Gallus_gallus,GG_generic,24,Chordata,56041.29956468215,4577.802599818775
SRR1048548_21_GG,Gallus_gallus,GG_generic,24,Chordata,56666.78093790821,6893.909267836647
SRR1048549_22_GG,Gallus_gallus,GG_generic,24,Chordata,55848.75785252453,9104.739410356784
SRR1048550_23_GG,Gallus_gallus,GG_generic,24,Chordata,57246.23861684456,7849.54005551386
SRR1048551_24_GG,Gallus_gallus,GG_generic,24,Chordata,57558.62785474815,4712.352697734436
SRR1048552_25_GG,Gallus_gallus,GG_generic,24,Chordata,58168.99288521198,4901.360920379086
SRR1048553_26_GG,Gallus_gallus,GG_generic,24,Chordata,57630.727304969856,5979.702430811267
SRR1048554_27_GG,Gallus_gallus,GG_generic,24,Chordata,58010.96326082834,7217.4558517299465
SRR1048555_28_GG,Gallus_gallus,GG_generic,24,Chordata,57459.26333412857,8329.599799044438
SRR1048556_29_GG,Gallus_gallus,GG_generic,24,Chordata,57834.01179217217,7172.946530625493
SRR1048557_30_GG,Gallus_gallus,GG_generic,24,Chordata,60242.94663832389,4632.60571280179
SRR1048558_31_GG,Gallus_gallus,GG_generic,24,Chordata,60547.12762742955,5518.812695347502
SRR1048559_32_GG,Gallus_gallus,GG_generic,24,Chordata,60018.26649211876,5705.643214950791
SRR1048560_33_GG,Gallus_gallus,GG_generic,24,Chordata,57928.46051800569,6168.404572377829
SRR1048561_34_GG,Gallus_gallus,GG_generic,24,Chordata,58153.87786844948,4678.623100227476
SRR1048562_35_GG,Gallus_gallus,GG_generic,24,Chordata,57496.966823779,5439.86361767743
SRR1048563_36_GG,Gallus_gallus,GG_generic,24,Chordata,58656.48851650351,6725.76366841958
SRR1048564_37_GG,Gallus_gallus,GG_generic,24,Chordata,59239.944425639005,7537.975371977938
SRR1048565_38_GG,Gallus_gallus,GG_generic,24,Chordata,58707.283079465706,6875.107010809954
SRR1048566_39_GG,Gallus_gallus,GG_generic,24,Chordata,56436.76963782821,8604.472143767936
SRR1048567_40_GG,Gallus_gallus,GG_generic,24,Chordata,56849.271739779026,7242.647070567104
SRR1048568_41_GG,Gallus_gallus,GG_generic,24,Chordata,57026.31118131861,6963.204549301543
SRR1048569_42_GG,Gallus_gallus,GG_generic,22,Chordata,70349.27896008188,8771.117033589693
SRR1048570_43_GG,Gallus_gallus,GG_generic,22,Chordata,70072.63604879491,9859.934006066076
SRR1048571_44_GG,Gallus_gallus,GG_generic,22,Chordata,70304.07477180463,8674.916531249859
SRR1048572_45_GG,Gallus_gallus,GG_generic,24,Chordata,60744.93943642659,8401.428598968636
SRR1048573_46_GG,Gallus_gallus,GG_generic,24,Chordata,60325.004866403746,8511.791146694239
SRR1048574_47_GG,Gallus_gallus,GG_generic,24,Chordata,60954.20072565596,6730.458624500492
SRR1048575_48_GG,Gallus_gallus,GG_generic,24,Chordata,61704.21549776815,5420.406753747526
SRR1048576_49_GG,Gallus_gallus,GG_generic,24,Chordata,60711.57823326376,6113.111232645966
SRR1048577_50_GG,Gallus_gallus,GG_generic,24,Chordata,61443.86109029231,6965.404649568478
SRR1048578_51_GG,Gallus_gallus,GG_generic,24,Chordata,57181.60252089614,8074.128996883704
SRR1048579_52_GG,Gallus_gallus,GG_generic,22,Chordata,67093.0855882776,9186.729648358156
SRR1048580_53_GG,Gallus_gallus,GG_generic,24,Chordata,56642.868175605196,7162.735321218418
SRR1048581_54_GG,Gallus_gallus,GG_generic,24,Chordata,54461.39101658603,5272.891390778654
SRR1048582_55_GG,Gallus_gallus,GG_generic,24,Chordata,56407.84484590801,7909.633881646245
SRR1048583_56_GG,Gallus_gallus,GG_generic,24,Chordata,55789.78946665523,5821.80595229157
SRR1048584_57_GG,Gallus_gallus,GG_generic,24,Chordata,60305.871698591975,5328.628874765013
SRR1048585_58_GG,Gallus_gallus,GG_generic,24,Chordata,60403.679340078015,4997.914023544061
SRR1048586_59_GG,Gallus_gallus,GG_generic,24,Chordata,60414.49919441251,5394.97087269063
SRR10874086_7_PA,Panulirus_argus,decapods,12,Arthropoda,13799.950732442321,5065.396411027141
SRR10874088_9_PA,Panulirus_argus,decapods,12,Arthropoda,12533.315028302695,3615.736259535126
SRR10874089_10_PA,Panulirus_argus,decapods,12,Arthropoda,15138.275786172271,3658.2811873707888
SRR1167035_0_ZN,Zootermopsis_nevadensis,ZN_transc,12,Arthropoda,35363.111192594355,35376.228257185394
SRR1167037_1_ZN,Zootermopsis_nevadensis,ZN_transc,12,Arthropoda,32446.354381876263,32115.218980918293
SRR1167040_3_ZN,Zootermopsis_nevadensis,ZN_transc,12,Arthropoda,52757.32641159024,21135.54377297305
SRR1167041_4_ZN,Zootermopsis_nevadensis,ZN_transc,12,Arthropoda,43435.12005063151,21119.88102211104
SRR1167042_5_ZN,Zootermopsis_nevadensis,ZN_transc,12,Arthropoda,52388.34144643935,18381.379883024427
SRR1167044_7_ZN,Zootermopsis_nevadensis,ZN_transc,12,Arthropoda,42108.70694506266,26635.150586818887
SRR1167247_9_ZN,Zootermopsis_nevadensis,ZN_transc,12,Arthropoda,47660.54431281965,28967.264342247883
SRR1167255_10_ZN,Zootermopsis_nevadensis,ZN_transc,12,Arthropoda,43451.265274811216,33012.82177280425
SRR1167256_11_ZN,Zootermopsis_nevadensis,ZN_transc,12,Arthropoda,47855.09576508226,24650.61805877459
SRR1175281_0_BG,Blattella_germanica,BL_cockroach_transcriptome_polya,11,Arthropoda,35024.43099143386,26209.31609566534
SRR1175299_1_BG,Blattella_germanica,BL_cockroach_transcriptome_polya,6,Arthropoda,45779.55521459773,55689.829103512326
SRR1175306_2_BG,Blattella_germanica,BL_cockroach_transcriptome_polya,11,Arthropoda,37790.27409691589,34177.285857831535
SRR1215996_0_HS,Homo_sapiens,HS_large_pool,14,Chordata,43722.43184586971,22920.29678279166
SRR1215998_2_HS,Homo_sapiens,HS_large_pool,14,Chordata,43572.95785329332,22758.8526238927
SRR1215999_3_HS,Homo_sapiens,HS_large_pool,14,Chordata,43533.31678909448,23607.28217665963
SRR1216001_5_HS,Homo_sapiens,HS_large_pool,14,Chordata,43733.01563794755,21987.3566505536
SRR1216002_6_HS,Homo_sapiens,HS_large_pool,14,Chordata,43400.37271063753,22906.536785236192
SRR1216004_8_HS,Homo_sapiens,HS_large_pool,14,Chordata,39459.3531858759,24957.18016490861
SRR1216005_9_HS,Homo_sapiens,HS_large_pool,14,Chordata,39408.30483709974,24456.73891708433
SRR1216006_10_HS,Homo_sapiens,HS_large_pool,14,Chordata,39338.28495585543,25017.120427848466
SRR1216007_11_HS,Homo_sapiens,HS_large_pool,14,Chordata,39317.63927478374,24465.154538827897
SRR1216008_12_HS,Homo_sapiens,HS_large_pool,14,Chordata,39047.6312745914,24776.75558487966
SRR1216009_13_HS,Homo_sapiens,HS_large_pool,14,Chordata,39142.17325703794,25226.86099563803
SRR1216010_14_HS,Homo_sapiens,HS_large_pool,14,Chordata,42589.68002046217,22943.82265362634
SRR1216012_16_HS,Homo_sapiens,HS_large_pool,14,Chordata,42502.73693984923,23499.41890267987
SRR1216013_17_HS,Homo_sapiens,HS_large_pool,14,Chordata,42211.21254322522,23608.0875970969
SRR1216015_19_HS,Homo_sapiens,HS_large_pool,14,Chordata,42172.81662034391,23396.122601116018
SRR12313777_0_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,19488.1802335827,11386.274517079852
SRR12313778_1_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,19821.68032869152,14267.067797361982
SRR12313779_2_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,18878.808882878286,13951.717712597441
SRR12313780_3_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,21161.88774493974,15320.967874971197
SRR12313781_4_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,21352.07966846846,12292.54762556325
SRR12313782_5_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,22021.783960064437,16352.423958015217
SRR12313783_6_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,21916.024424570656,13262.83631415953
SRR12313784_7_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,21901.2149372297,13862.233354334301
SRR12313785_8_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,22350.641908458856,11773.899911475302
SRR12313786_9_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,20787.075618961328,18784.762193151855
SRR12313787_10_DM,Drosophila_melanogaster,DM_polya,13,Arthropoda,26475.31481607024,15776.286731693655
SRR12313788_11_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,21533.192617368724,16064.484476829573
SRR12313789_12_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,21751.865920528642,12307.029590066224
SRR12313790_13_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,22608.56683177944,12538.909307252914
SRR12313791_14_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,21526.2834012399,13809.843611536859
SRR12313792_15_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,23747.132871962844,14980.874487256597
SRR12313793_16_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,22948.680085903507,17282.651541265463
SRR12313794_17_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,23200.13223242233,15338.84690511884
SRR12313795_18_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,22825.968178440446,11504.26362768557
SRR12313796_19_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,22373.773997593977,11582.914110826452
SRR12313797_20_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,22351.731576962025,13459.789584340604
SRR12313798_21_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,23515.605208935038,14679.638238069449
SRR12313799_22_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,23318.176003074714,15719.807689759817
SRR12313800_23_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,23619.756687238183,16101.276309961753
SRR12313801_24_DM,Drosophila_melanogaster,DM_polya,13,Arthropoda,23798.162111450165,18527.316942788675
SRR12313802_25_DM,Drosophila_melanogaster,DM_polya,13,Arthropoda,23385.46229933693,14152.911377492315
SRR12313803_26_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,19935.23416930584,18240.933655424153
SRR12313804_27_DM,Drosophila_melanogaster,DM_polya,13,Arthropoda,23768.75010120847,19977.11909624483
SRR12313805_28_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,20570.924764663167,15797.340388529632
SRR12313806_29_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,20862.0517454736,11505.39097715104
SRR12313807_30_DM,Drosophila_melanogaster,DM_polya,12,Arthropoda,30664.513345477993,21040.54593902574
SRR12313808_31_DM,Drosophila_melanogaster,DM_polya,13,Arthropoda,28204.27435234707,15297.652877421482
SRR12313809_32_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,23719.652281826,19262.95528416535
SRR12313810_33_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,21498.38879007287,15445.250847306092
SRR12313811_34_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,21370.91021061221,14343.10996641856
SRR12313812_35_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,22341.798770388887,11144.061730549565
SRR12313813_36_DM,Drosophila_melanogaster,DM_polya,13,Arthropoda,23792.80161915566,11905.139620975468
SRR12313814_37_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,20431.004775256843,10341.534340125292
SRR12313815_38_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,20012.904184671475,11005.48804325873
SRR12313816_39_DM,Drosophila_melanogaster,DM_polya,13,Arthropoda,30503.891146651746,13653.630712848257
SRR12313817_40_DM,Drosophila_melanogaster,DM_polya,14,Arthropoda,25018.426846462895,15267.871356591604
SRR12313818_41_DM,Drosophila_melanogaster,DM_polya,13,Arthropoda,30482.31604560003,14717.803142814795
